127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000339
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000347
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001423
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000423
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.017082
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.018094
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.017885
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002389
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/images/questions.png, HTTP/1.1, 200, 0.001696
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/images/folder_locked.png, HTTP/1.1, 200, 0.000716
127.0.0.1, 2016-04-13 14:56:15, GET, /admin/static/_2.14.4/images/folder.png, HTTP/1.1, 200, 0.000512
127.0.0.1, 2016-04-13 14:56:16, GET, /admin/static/_2.14.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000603
127.0.0.1, 2016-04-13 14:56:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2016-04-17 11:47:13, GET, /, HTTP/1.1, 303, 0.003010
127.0.0.1, 2016-04-17 11:47:14, GET, /welcome/default/index, HTTP/1.1, 200, 1.156274
127.0.0.1, 2016-05-04 15:26:30, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/default/index, HTTP/1.1, 200, 1.085000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.041000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.067000
127.0.0.1, 2016-05-04 15:26:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-05-04 15:26:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/default/site, HTTP/1.1, 303, 0.715000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/default/index, HTTP/1.1, 200, 0.236000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/css/calendar.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/js/jquery.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/js/web2py.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/js/calendar.js, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.039000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-05-04 15:26:36, GET, /admin/static/_2.14.4/images/questions.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-05-04 15:26:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-04 15:26:38, POST, /admin/default/index, HTTP/1.1, 303, 0.138000
127.0.0.1, 2016-05-04 15:26:38, GET, /admin/default/site, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-05-04 15:26:39, GET, /admin/static/_2.14.4/images/folder_locked.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2016-05-04 15:26:39, GET, /admin/static/_2.14.4/images/folder.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-05-04 15:26:39, GET, /admin/static/_2.14.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2016-05-04 15:26:39, POST, /admin/default/check_version, HTTP/1.1, 200, 0.349000
127.0.0.1, 2016-05-04 15:26:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-04 15:26:43, GET, /admin/default/design/Visualizr, HTTP/1.1, 200, 0.899000
127.0.0.1, 2016-05-04 15:26:43, GET, /admin/static/_2.14.4/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-05-04 15:26:43, GET, /admin/static/_2.14.4/images/search.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-05-04 15:26:43, GET, /admin/static/_2.14.4/images/delete_icon.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-05-04 15:26:43, GET, /admin/static/_2.14.4/images/test_icon.png, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-05-04 15:26:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-05-04 15:28:02, POST, /admin/default/create_file, HTTP/1.1, 303, 0.047000
127.0.0.1, 2016-05-04 15:28:03, GET, /admin/default/design/Visualizr, HTTP/1.1, 200, 0.129000
127.0.0.1, 2016-05-04 15:28:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-04 15:28:05, GET, /admin/default/peek/Visualizr/models/tables.py, HTTP/1.1, 200, 0.058000
127.0.0.1, 2016-05-04 15:28:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-05-04 15:28:07, GET, /admin/default/edit/Visualizr/models/tables.py, HTTP/1.1, 200, 0.164000
127.0.0.1, 2016-05-04 15:28:07, GET, /admin/static/_2.14.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-05-04 15:28:07, GET, /admin/static/_2.14.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2016-05-04 15:28:07, GET, /admin/static/_2.14.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-05-04 15:28:07, GET, /admin/static/_2.14.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.055000
